p_id;p_nr;p_name;p_text;p_comp[zielgruppe];p_brand;a_id;a_nr;a_active;a_ean;a_prodnr;a_comp[farbe];a_comp[groesse];a_stock;a_media[image]{0};a_media[image]{1};a_media[image]{2};a_media[image]{3};a_media[image]{4};a_media[image]{5};p_comp[material]
37479;30602926;Pullover;Dieser Pullover ist aus einer weichen Sweatware gefertigt. Die modische Oversized-Form hat einen klassischem Rundhalsausschnitt und eine Tasche auf der Vorderseite. Der Clou sind aber die rmel: die schicken Eins„tze sind aus einem kuscheligen Teddystoff.;Damen;DreiMaster;273393;4251621766592;0;4251621766592;30906;schwarz;XS;7;https://clientmedia.trade-server.net/1211_glago/media/7/10/426711.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/12/426713.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/14/426715.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/16/426717.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/28/426729.jpg;;60% Baumwolle, 40% Polyester
37481;30602927;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273395;4251621766721;0;4251621766721;30906;marine;S;11;https://clientmedia.trade-server.net/1211_glago/media/7/90/426791.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/92/426793.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/94/426795.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/96/426797.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/82/426883.jpg;;60% Baumwolle, 40% Polyester
37481;30602927;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273397;4251621766684;0;4251621766684;30906;marine;L;5;https://clientmedia.trade-server.net/1211_glago/media/7/90/426791.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/92/426793.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/94/426795.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/96/426797.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/82/426883.jpg;;60% Baumwolle, 40% Polyester
37481;30602927;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273399;4251621766707;0;4251621766707;30906;marine;M;7;https://clientmedia.trade-server.net/1211_glago/media/7/90/426791.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/92/426793.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/94/426795.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/96/426797.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/82/426883.jpg;;60% Baumwolle, 40% Polyester
37481;30602927;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273403;4251621766752;0;4251621766752;30906;marine;XS;3;https://clientmedia.trade-server.net/1211_glago/media/7/90/426791.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/92/426793.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/94/426795.jpg;https://clientmedia.trade-server.net/1211_glago/media/7/96/426797.jpg;https://clientmedia.trade-server.net/1211_glago/media/8/82/426883.jpg;;60% Baumwolle, 40% Polyester
37481;30602927;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273405;4251621766738;0;4251621766738;30906;schwarz;S;7;https://clientmedia.trade-server.net/1211_glago/media/9/18/426919.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/20/426921.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/22/426923.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/24/426925.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/26/426927.jpg;;60% Baumwolle, 40% Polyester
37481;30602927;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273407;4251621766691;0;4251621766691;30906;schwarz;L;2;https://clientmedia.trade-server.net/1211_glago/media/9/18/426919.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/20/426921.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/22/426923.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/24/426925.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/26/426927.jpg;;60% Baumwolle, 40% Polyester
37481;30602927;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273409;4251621766714;0;4251621766714;30906;schwarz;M;3;https://clientmedia.trade-server.net/1211_glago/media/9/18/426919.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/20/426921.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/22/426923.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/24/426925.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/26/426927.jpg;;60% Baumwolle, 40% Polyester
37481;30602927;Kapuzenjacke;Diese schicke lange Sweatjacke, hat ein kuscheliges Innenfutter in der Kapuze. Es ist aus einem weichen Teddystoff gefertigt und sieht herrlich gemtlich aus. Die Jacke selbst ist aus einer soften Sweatware gefertigt, hat zwei praktische Seitentaschen und Rippenbndchen an den Armabschlssen der Raglan„rmel.;Damen;DreiMaster;273411;4251621766769;0;4251621766769;30906;schwarz;XS;3;https://clientmedia.trade-server.net/1211_glago/media/9/18/426919.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/20/426921.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/22/426923.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/24/426925.jpg;https://clientmedia.trade-server.net/1211_glago/media/9/26/426927.jpg;;60% Baumwolle, 40% Polyester
37483;30602929;Pullover;Dieser Pullover ist aus einer weichen Sweatware gefertigt. Die modische Oversized-Form hat einen klassischem Rundhalsausschnitt und eine Tasche auf der Vorderseite. Der Clou sind aber die rmel: die schicken Eins„tze sind aus einem kuscheligen Teddystoff.;Damen;DreiMaster;273433;4251621767070;0;4251621767070;30906;dunkelgrau blau;S;1;https://clientmedia.trade-server.net/1211_glago/media/2/04/427205.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/06/427207.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/08/427209.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/10/427211.jpg;https://clientmedia.trade-server.net/1211_glago/media/2/12/427213.jpg;;60% Baumwolle, 40% Polyester
